Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002342,Male,Yes,2,Graduate,Yes,-0.6650459494933068,3.770833559902378,0.8992361346645551,0.2772125909680383,1.0,Urban,N
LP002031,Male,Yes,1,Not Graduate,No,-0.36553884925134655,-0.060376779887834346,-0.4857090511448405,-2.608772639394945,1.0,Urban,Y
LP002926,Male,Yes,2,Graduate,Yes,-0.4775834731884445,-0.4025981827884851,-0.53980847246552,0.2772125909680383,0.0,Semiurban,N
LP002318,Female,No,1,Not Graduate,Yes,-0.287623717003855,-0.4025981827884851,-1.0158833800874998,0.2772125909680383,1.0,Semiurban,N
LP001343,Male,Yes,0,Graduate,No,-0.6385747827681975,0.33630790725493215,-0.26931136586212245,0.2772125909680383,1.0,Semiurban,Y
LP002149,Male,Yes,2,Graduate,No,0.4558997458536182,0.258264733666613,0.09856469911849826,0.2772125909680383,1.0,Rural,Y
LP002832,Male,Yes,2,Graduate,No,0.5334819074504795,-0.4025981827884851,1.1048139356831372,0.2772125909680383,0.0,Urban,N
LP001350,Male,Yes,,Graduate,No,1.3411022205542866,-0.4025981827884851,0.0,0.2772125909680383,1.0,Urban,Y
LP001922,Male,Yes,0,Graduate,No,2.5093297482907153,-0.4025981827884851,0.0,0.2772125909680383,1.0,Rural,N
LP001144,Male,Yes,0,Graduate,No,0.03768860866195393,-0.4025981827884851,-0.1286528704283557,0.2772125909680383,1.0,Urban,Y
LP002731,Female,No,0,Not Graduate,Yes,2.0927834643522023,-0.4025981827884851,-0.33423067144693785,0.2772125909680383,1.0,Urban,Y
LP002043,Female,No,1,Graduate,No,-0.3418979330565948,-0.4025981827884851,-0.4748891668807046,0.2772125909680383,,Semiurban,Y
LP002448,Male,Yes,0,Graduate,No,-0.2741384056533276,-0.04097032228432184,-0.07455344910767618,0.2772125909680383,0.0,Rural,N
LP002720,Male,Yes,3+,Graduate,No,-0.21869879232338166,-0.4025981827884851,-0.6047277780503354,0.2772125909680383,1.0,Urban,Y
LP002683,Male,No,0,Graduate,No,-0.15177169154669015,-0.002992093425834989,0.3149623844012163,0.2772125909680383,1.0,Semiurban,N
